1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241 1.593709224034191445e-241
1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236 1.008732139897262281e-236
5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232 5.713308670238583441e-232
2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227 2.895640054119964875e-227
1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222 1.313247311115915432e-222
5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218 5.329586590870521280e-218
1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213 1.935466160933874066e-213
6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209 6.289595274865550548e-209
1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204 1.828962812825350963e-204
4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200 4.759179749790546814e-200
